      2 ?        S      0:00 [kthreadd]
   3199 ?        Sl    78:25  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 31555 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {8101ddda-dade-4006-8413-0b026ea5f21a} 2334 true tab
   8522 ?        Sl     0:09  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -parentBuildID 20240510023632 -prefsLen 37648 -prefMapSize 243822 -appDir /snap/firefox/4259/usr/lib/firefox/browser {a92cf38d-25d2-408c-bb59-40560d4fb20d} 2334 true rdd
  24552 ?        Sl     5:09  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 60 -isForBrowser -prefsLen 31747 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {2d4616c7-e562-44ed-89b9-838831c451d6} 2334 true tab
  31783 ?        Sl    11:49  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 119 -isForBrowser -prefsLen 31747 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {bd3d3f71-cd8c-4ff4-9fcf-cbe777a5007b} 2334 true tab
 105978 ?        Sl    11:39  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 221 -isForBrowser -prefsLen 31878 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {3b502a45-b76a-451b-884a-16f0d889d4fc} 2334 true tab
 138429 ?        Sl     2:33  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 226 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {0e7366e3-e2a3-4be3-9e6b-3e59fa70e701} 2334 true tab
 138510 ?        Sl    19:19  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 227 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {88879135-d777-4aba-99f1-70002c14e679} 2334 true tab
 156044 ?        Sl     2:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 240 -isForBrowser -prefsLen 31878 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {19baa085-3846-449d-ba7b-fd47dabb01b4} 2334 true tab
 156230 ?        Sl     3:40  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 242 -isForBrowser -prefsLen 31878 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {d216187e-f05f-4d16-ab6b-7b3eb679339a} 2334 true tab
 164709 ?        Sl     0:41  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 275 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e2249777-6999-4126-bc1f-74dab3d5ff52} 2334 true tab
 169591 ?        Sl     0:53  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 308 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {f68b1c85-d2d7-46a7-a874-437284f624cb} 2334 true tab
 175115 ?        Sl     2:32  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 323 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {0c86e7af-c9eb-4ed3-8c78-abd5019a0f46} 2334 true tab
 175343 ?        Sl     1:34  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 326 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {513545bf-9ca0-4d44-bf45-5850646e870d} 2334 true tab
 239005 ?        Sl     0:19  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 439 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {0341db86-c9ad-4c2e-a916-53e25eed8fd0} 2334 true tab
 240721 ?        Sl     0:15  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 440 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {72df946e-16c3-4ccc-b857-31df24d23438} 2334 true tab
